DATE,STATION_NUMBER,DISCHARGE,LEVEL
2022-01-01,10CD001,32.099998474121094,
2022-01-02,10CD001,31.799999237060547,
2022-01-03,10CD001,31.600000381469727,
2022-01-04,10CD001,31.299999237060547,
2022-01-05,10CD001,31.0,
2022-01-06,10CD001,30.700000762939453,
2022-01-07,10CD001,30.399999618530277,
2022-01-08,10CD001,30.200000762939453,
2022-01-09,10CD001,29.899999618530277,
2022-01-10,10CD001,29.600000381469727,
2022-01-11,10CD001,29.399999618530277,
2022-01-12,10CD001,29.100000381469727,
2022-01-13,10CD001,28.899999618530277,
2022-01-14,10CD001,28.600000381469727,
2022-01-15,10CD001,28.399999618530277,
2022-01-16,10CD001,28.100000381469727,
2022-01-17,10CD001,27.899999618530277,
2022-01-18,10CD001,27.600000381469727,
2022-01-19,10CD001,27.399999618530277,
2022-01-20,10CD001,27.100000381469727,
2022-01-21,10CD001,26.899999618530277,
2022-01-22,10CD001,26.600000381469727,
2022-01-23,10CD001,26.399999618530277,
2022-01-24,10CD001,26.200000762939453,
2022-01-25,10CD001,25.899999618530277,
2022-01-26,10CD001,25.700000762939453,
2022-01-27,10CD001,25.5,
2022-01-28,10CD001,25.299999237060547,
2022-01-29,10CD001,25.0,
2022-01-30,10CD001,24.799999237060547,
2022-01-31,10CD001,24.600000381469727,
2022-02-01,10CD001,24.399999618530277,
2022-02-02,10CD001,24.200000762939453,
2022-02-03,10CD001,23.899999618530277,
2022-02-04,10CD001,23.700000762939453,
2022-02-05,10CD001,23.5,
2022-02-06,10CD001,23.299999237060547,
2022-02-07,10CD001,23.100000381469727,
2022-02-08,10CD001,22.899999618530277,
2022-02-09,10CD001,22.700000762939453,
2022-02-10,10CD001,22.5,
2022-02-11,10CD001,22.399999618530277,
2022-02-12,10CD001,22.399999618530277,
2022-02-13,10CD001,22.299999237060547,
2022-02-14,10CD001,22.299999237060547,
2022-02-15,10CD001,22.200000762939453,
2022-02-16,10CD001,22.200000762939453,
2022-02-17,10CD001,22.200000762939453,
2022-02-18,10CD001,22.100000381469727,
2022-02-19,10CD001,22.100000381469727,
2022-02-20,10CD001,22.0,
2022-02-21,10CD001,22.0,
2022-02-22,10CD001,22.0,
2022-02-23,10CD001,21.899999618530277,
2022-02-24,10CD001,21.899999618530277,
2022-02-25,10CD001,21.799999237060547,
2022-02-26,10CD001,21.799999237060547,
2022-02-27,10CD001,21.799999237060547,
2022-02-28,10CD001,21.700000762939453,
2022-03-01,10CD001,21.700000762939453,
2022-03-02,10CD001,21.600000381469727,
2022-03-03,10CD001,21.600000381469727,
2022-03-04,10CD001,21.600000381469727,
2022-03-05,10CD001,21.5,
2022-03-06,10CD001,21.5,
2022-03-07,10CD001,21.5,
2022-03-08,10CD001,21.399999618530277,
2022-03-09,10CD001,21.399999618530277,
2022-03-10,10CD001,21.299999237060547,
2022-03-11,10CD001,21.299999237060547,
2022-03-12,10CD001,21.299999237060547,
2022-03-13,10CD001,21.200000762939453,
2022-03-14,10CD001,21.200000762939453,
2022-03-15,10CD001,21.100000381469727,
2022-03-16,10CD001,21.100000381469727,
2022-03-17,10CD001,21.100000381469727,
2022-03-18,10CD001,21.0,
2022-03-19,10CD001,21.0,
2022-03-20,10CD001,20.899999618530277,
2022-03-21,10CD001,20.899999618530277,
2022-03-22,10CD001,20.899999618530277,
2022-03-23,10CD001,20.799999237060547,
2022-03-24,10CD001,20.799999237060547,
2022-03-25,10CD001,20.700000762939453,
2022-03-26,10CD001,20.700000762939453,
2022-03-27,10CD001,20.700000762939453,
2022-03-28,10CD001,20.600000381469727,
2022-03-29,10CD001,20.600000381469727,
2022-03-30,10CD001,20.600000381469727,
2022-03-31,10CD001,21.299999237060547,
2022-04-01,10CD001,22.0,
2022-04-02,10CD001,22.799999237060547,
2022-04-03,10CD001,23.600000381469727,
2022-04-04,10CD001,24.399999618530277,
2022-04-05,10CD001,25.100000381469727,
2022-04-06,10CD001,25.899999618530277,
2022-04-07,10CD001,26.700000762939453,
2022-04-08,10CD001,27.5,
2022-04-09,10CD001,28.299999237060547,
2022-04-10,10CD001,29.0,
2022-04-11,10CD001,29.799999237060547,
2022-04-12,10CD001,30.600000381469727,
2022-04-13,10CD001,31.5,
2022-04-14,10CD001,32.70000076293945,
2022-04-15,10CD001,33.900001525878906,
2022-04-16,10CD001,35.0,
2022-04-17,10CD001,36.20000076293945,
2022-04-18,10CD001,37.400001525878906,
2022-04-19,10CD001,38.59999847412109,
2022-04-20,10CD001,39.70000076293945,
2022-04-21,10CD001,41.0,
2022-04-22,10CD001,43.20000076293945,
2022-04-23,10CD001,45.59999847412109,
2022-04-24,10CD001,47.900001525878906,
2022-04-25,10CD001,50.20000076293945,
2022-04-26,10CD001,52.59999847412109,
2022-04-27,10CD001,57.20000076293945,
2022-04-28,10CD001,63.09999847412109,
